Raman shift	Spent	Raman shift	Fresh
cm^-1		cm^-1	
1300.92	28.5142857142857	1300.92	20.3142857142857
1305.53	24.5142857142857	1305.53	22.1428571428571
1310.15	29.3	1310.15	23.7714285714286
1314.76	33.4857142857143	1314.76	25.1571428571429
1319.37	33.0428571428571	1319.37	23.8
1323.98	34.7428571428571	1323.98	25.7571428571429
1328.59	36.1857142857143	1328.59	22.3
1333.19	32.6142857142857	1333.19	19.3285714285714
1337.8	29.4142857142857	1337.8	20.7
1342.4	31.8	1342.4	27.1
1347.01	34.2714285714286	1347.01	25.6857142857143
1351.61	34.4285714285714	1351.61	20.8142857142857
1356.21	34.9571428571428	1356.21	24.1142857142857
1360.8	35.8428571428571	1360.8	26.0428571428571
1365.4	31.4428571428571	1365.4	21.4142857142857
1370	29.4428571428571	1370	16.4142857142857
1374.59	34.9	1374.59	20.9857142857143
1379.18	40.9571428571429	1379.18	22.4142857142857
1383.77	40.3857142857143	1383.77	20.0571428571429
1388.36	39.4142857142857	1388.36	18.9714285714286
1392.95	41.4	1392.95	23.8285714285714
1397.53	38.5571428571429	1397.53	23.4714285714286
1402.12	34.2142857142857	1402.12	21.0857142857143
1406.7	36.4142857142857	1406.7	23.0428571428571
1411.29	43.8142857142857	1411.29	25
1415.87	39.4428571428571	1415.87	21.8142857142857
1420.44	33.5285714285714	1420.44	18.4428571428571
1425.02	35.2857142857143	1425.02	22.5
1429.6	41.7142857142857	1429.6	23.2428571428571
1434.17	38.3142857142857	1434.17	20.8428571428571
1438.75	36.1285714285714	1438.75	21.8857142857143
1443.32	39.8	1443.32	26.4142857142857
1447.89	39.2428571428571	1447.89	26.1857142857143
1452.46	35.6285714285714	1452.46	23.4571428571429
1457.02	36.3714285714286	1457.02	23.8428571428571
1461.59	39.7571428571429	1461.59	23.2428571428571
1466.15	37.4857142857143	1466.15	20.3857142857143
1470.72	35.9714285714286	1470.72	20.2571428571429
1475.28	37.0714285714286	1475.28	26.0428571428571
1479.84	35.1714285714286	1479.84	27.3
1484.4	33.8571428571429	1484.4	24.1285714285714
1488.95	35.7142857142857	1488.95	22.1714285714286
1493.51	41.3714285714286	1493.51	26.1428571428571
1498.06	38.9857142857143	1498.06	25.4285714285714
1502.62	33.2428571428571	1502.62	22.3714285714286
1507.17	32.2	1507.17	25.1714285714286
1511.72	36.3	1511.72	26.8857142857143
1516.27	36.1	1516.27	23.2285714285714
1520.81	33.8571428571429	1520.81	19.8142857142857
1525.36	37.9	1525.36	24.2857142857143
1529.9	40	1529.9	25.1857142857143
1534.45	37.9285714285714	1534.45	22.8571428571429
1538.99	36.0857142857143	1538.99	23.3857142857143
1543.53	41.2714285714286	1543.53	23.9571428571429
1548.06	43.0428571428571	1548.06	23.5142857142857
1552.6	43.3428571428571	1552.6	22.5571428571429
1557.14	42.8714285714286	1557.14	26.3571428571429
1561.67	41.2142857142857	1561.67	23.5142857142857
1566.2	38.5714285714286	1566.2	23.0428571428571
1570.74	40.7571428571429	1570.74	24.2714285714286
1575.27	48.1857142857143	1575.27	28.0857142857143
1579.79	53.6571428571429	1579.79	24.9
1584.32	52.5571428571429	1584.32	21.2285714285714
1588.85	52.7142857142857	1588.85	23.2571428571429
1593.37	56.0428571428571	1593.37	24.4714285714286
1597.89	57.5857142857143	1597.89	25.1142857142857
1602.41	57.6571428571429	1602.41	22.0714285714286
1606.93	61.7142857142857	1606.93	24.0142857142857
1611.45	65.4571428571429	1611.45	20.1285714285714
1615.97	63.2285714285714	1615.97	18.9428571428571
1620.48	62.3428571428571	1620.48	19.6428571428571
1625	61.7857142857143	1625	21.1428571428571
1629.51	53.6714285714286	1629.51	18.9857142857143
1634.02	46.4142857142857	1634.02	18.9428571428571
1638.53	46.5	1638.53	24.2285714285714
1643.04	53.0142857142857	1643.04	22.5714285714286
1647.55	46.5428571428571	1647.55	20.2
1652.05	39.0857142857143	1652.05	20.5285714285714
1656.56	37.8571428571429	1656.56	26.6142857142857
1661.06	41.3428571428571	1661.06	25
1665.56	35.5285714285714	1665.56	23.9428571428571
1670.06	32.3285714285714	1670.06	24.6142857142857
1674.56	36.5142857142857	1674.56	25.5571428571429
1679.06	39.5714285714286	1679.06	22.7571428571429
1683.55	35.5714285714286	1683.55	20.1571428571429
1688.05	33.5428571428571	1688.05	24.6
1692.54	35.3285714285714	1692.54	26.3285714285714
1697.03	33.6	1697.03	25.3571428571429
1701.52	31.8285714285714	1701.52	23.0571428571429
1706.01	33.4428571428572	1706.01	27.3714285714286
1710.5	36.9857142857143	1710.5	26.6285714285714
1714.98	34.9571428571429	1714.98	26.0857142857143
1719.47	32.7857142857143	1719.47	27
1723.95	34.4857142857143	1723.95	27.8285714285714
1728.43	38.3714285714286	1728.43	25.3
1732.91	35.5	1732.91	24.7857142857143
1737.39	34.4714285714286	1737.39	28.6571428571429
