Reactor-length Temperature-100mlmin Temperature-200mlmin Temperature-400mlmin Temperature-600mlmin Temperature-800mlmin
cm  K K K K K
29.118 31.25 31.95 33.75 36.25 39.75
29.187 31.05 31.75 33.55 36.05 39.35
29.256 30.95 31.65 33.35 35.75 39.05
29.325 30.75 31.45 33.15 35.55 38.75
29.394 30.65 31.35 33.05 35.35 38.45
29.463 30.55 31.15 32.85 35.05 38.15
29.532 30.35 31.05 32.65 34.85 37.95
29.601 30.25 30.85 32.45 34.65 37.65
29.67 30.15 30.75 32.35 34.45 37.35
29.739 29.95 30.65 32.15 34.25 37.15
29.808 29.85 30.45 31.95 34.05 36.85
29.877 29.75 30.35 31.85 33.85 36.55
29.946 29.65 30.25 31.65 33.65 36.35
30.015 29.45 30.05 31.45 33.45 36.05
30.084 29.35 29.95 31.35 33.25 35.85
30.153 29.25 29.85 31.15 33.05 35.65
30.222 29.15 29.65 31.05 32.85 35.35
30.291 29.05 29.55 30.95 32.75 35.15
30.36 28.95 29.45 30.75 32.55 34.95
30.429 28.75 29.35 30.65 32.35 34.75
30.498 28.65 29.25 30.45 32.15 34.55
30.567 28.55 29.15 30.35 32.05 34.35
30.636 28.45 28.95 30.25 31.85 34.05
30.705 28.35 28.85 30.05 31.65 33.85
30.774 28.25 28.75 29.95 31.55 33.65
30.843 28.15 28.65 29.85 31.35 33.55
30.912 28.05 28.55 29.75 31.25 33.35
30.981 27.95 28.45 29.55 31.05 33.15
31.05 27.85 28.35 29.45 30.95 32.95
31.119 27.75 28.25 29.35 30.75 32.75
31.188 27.75 28.15 29.25 30.65 32.55
31.257 27.65 28.05 29.15 30.55 32.45
31.326 27.55 27.95 29.05 30.35 32.25
31.395 27.45 27.85 28.95 30.25 32.05
31.464 27.35 27.75 28.75 30.15 31.95
31.533 27.25 27.65 28.65 29.95 31.75
31.602 27.15 27.65 28.55 29.85 31.55
31.671 27.15 27.55 28.45 29.75 31.45
31.74 27.05 27.45 28.35 29.65 31.25
31.809 26.95 27.35 28.25 29.45 31.15
31.878 26.85 27.25 28.15 29.35 30.95
31.947 26.75 27.15 28.05 29.25 30.85
32.016 26.75 27.15 27.95 29.15 30.75
32.085 26.65 27.05 27.95 29.05 30.55
32.154 26.55 26.95 27.85 28.95 30.45
32.223 26.45 26.85 27.75 28.85 30.35
32.292 26.45 26.75 27.65 28.75 30.15
32.361 26.35 26.75 27.55 28.65 30.05
32.43 26.25 26.65 27.45 28.55 29.95
32.499 26.15 26.55 27.35 28.45 29.75
32.568 26.15 26.45 27.35 28.35 29.65
32.637 26.05 26.45 27.25 28.25 29.55
32.706 25.95 26.35 27.15 28.15 29.45
32.775 25.85 26.25 27.05 28.05 29.35
32.844 25.75 26.15 26.95 27.95 29.25
32.913 25.75 26.05 26.85 27.85 29.05
32.982 25.65 26.05 26.85 27.75 28.95
33.051 25.55 25.95 26.75 27.65 28.85
33.12 25.45 25.85 26.65 27.55 28.75
33.189 25.35 25.75 26.55 27.45 28.65
33.258 25.25 25.65 26.45 27.35 28.55
33.327 25.05 25.55 26.35 27.25 28.45
33.396 24.95 25.45 26.25 27.15 28.35
33.465 24.85 25.25 26.15 27.05 28.25
33.534 24.65 25.15 26.05 26.95 28.15
33.603 24.45 24.95 25.95 26.85 27.95
33.672 24.35 24.85 25.75 26.75 27.85
33.741 24.15 24.65 25.65 26.65 27.75
33.81 23.95 24.45 25.45 26.45 27.65
33.879 23.65 24.25 25.35 26.35 27.45
33.948 23.45 24.05 25.15 26.15 27.35
34.017 23.25 23.75 24.95 26.05 27.15
34.086 23.05 23.55 24.65 25.85 27.05
34.155 22.75 23.35 24.45 25.65 26.85
34.224 22.55 23.05 24.25 25.45 26.65
34.293 22.35 22.85 23.95 25.25 26.45
34.362 22.15 22.65 23.75 25.05 26.25
34.431 22.05 22.45 23.65 24.85 26.15
34.5 21.85 22.25 23.45 24.65 25.95
 21.75 22.15 23.25 24.55 25.85
